path	kind	size	lines	ext	issues	sha
addthis/ChatGPT Image 23_05_2025, 01_55_58.png	binary	1799378	0	.png	-	-
addthis/ChatGPT Image 23_05_2025, 03_10_44.png	binary	1376761	0	.png	-	-
addthis/ChatGPT Image 4 de abr. de 2026, 11_00_22.png	binary	3079955	0	.png	-	-
addthis/IMG-20250512-WA0028.jpg	binary	145636	0	.jpg	-	-
addthis/IMG-20250512-WA0033.jpg	binary	81508	0	.jpg	-	-
addthis/README.md	text	17531	461	.md	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
addthis/VECTRAS_BUGS.md	text	16266	343	.md	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
addthis/VECTRAS_PROBLEMS.md	text	21387	292	.md	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
addthis/VECTRAS_REALITY_DIFF.md	text	5507	114	.md	-	-
addthis/VECTRAS_SOLUTIONS.md	text	22543	743	.md	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
addthis/apply_fixes_phase1.sh	text	1927	59	.sh	-	-
addthis/file_00000000054461f9851bfc88282e5fb7.png	binary	1764087	0	.png	-	-
addthis/file_000000001ba861f79b34179b7bcae27b.png	binary	2903236	0	.png	-	-
addthis/file_0000000020e061fdb4cc7aebf4858d55 (5).png	binary	1239800	0	.png	-	-
addthis/file_000000002dc061f5925cf67571935db7.png	binary	1834343	0	.png	-	-
addthis/file_00000000305461f7af94157fa604d5e8.png	binary	2160320	0	.png	-	-
addthis/file_000000003da461f7bbce472a75b53fed.png	binary	2259521	0	.png	-	-
addthis/file_0000000055b06246887dee9e24718335.png	binary	2527989	0	.png	-	-
addthis/file_000000005fac61f790ff71f6d649e498 (1).png	binary	2775317	0	.png	-	-
addthis/file_000000005fac61f790ff71f6d649e498.png	binary	2775317	0	.png	-	-
addthis/file_0000000060c461f990eda490b765180b.png	binary	2495731	0	.png	-	-
addthis/file_00000000756061f9bb4dbd25cce83303.png	binary	2173197	0	.png	-	-
addthis/file_000000007b88622f914c4f129c25172b.png	binary	2826169	0	.png	-	-
addthis/file_00000000b668622fa5d0c9682248b043.png	binary	1675059	0	.png	-	-
addthis/rafaelia_audit-1.jsx.txt	text	17750	332	.txt	trailing-whitespace	-
addthis/rafaelia_audit.jsx	text	17750	332	.jsx	trailing-whitespace	-
addthis/rafaelia_custody_stream.jsx (2).txt	text	32516	612	.txt	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
addthis/readme.md	text	1287	25	.md	-	-
addthis/rmr_types.h	text	2739	64	.h	trailing-whitespace,trailing-whitespace	-
addthis/vectras_audit_files.jsx.txt	text	18691	315	.txt	-	-
addthis/vectras_full_metrics.jsx.txt	text	22630	360	.txt	-	-
